No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kekampus (Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,,,,,,,,,,,
259,DEVA ALVIN AZZAHRA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 7 BANDAR LAMPUNG,2020,20,Tidak,Ikut,3.7,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
260,MERLIANA KUSUMA ASTUTI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK SMTI BANDAR LAMPUNG,2020,20,Tidak,Ikut,3.6,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
261,MELVIN ARFIANDITA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,MAN 1 TANGGAMUS,2020,20,Tidak,Ikut,3.7,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
262,FITRYA EVIYANI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 01 WAY TENONG,2020,20,Tidak,Ikut,3.7,Wiraswasta,Rendah,2,Tidak,,,,,,,,,,,
263,INDRA IRAWAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA PERINTIS 2 BANDAR LAMPUNG,2020,20,Tidak,Tidak,3.05,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
264,ELISA FITRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 2 KALIANDA,2020,20,Tidak,Ikut,3.28,PNS,Sedang,1,Tidak,,,,,,,,,,,
265,LAURA MONICA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK YP 96 BUKIT KEMUNING,2020,20,Tidak,Ikut,3.55,PNS,Sedang,2,Tidak,,,,,,,,,,,
266,KHOIRUNNISA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA NEGRI 1 KOTA METRO,2020,20,Tidak,Ikut,2.3,PNS,Tinggi,2,Tidak,,,,,,,,,,,
267,ALFIA SHANY,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020,20,Tidak,Ikut,3.3,PNS,Rendah,4,Tidak,,,,,,,,,,,
268,AMIDA KHOIROTUNNISA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 17 BANDAR LAMPUNG,2020,20,Tidak,Ikut,3.22,Petani,Sedang,3,Tidak,,,,,,,,,,,
269,DICKY BAGUS SETIAWAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA MUHAMMADIYAH GISTING,2020,20,Tidak,Ikut,2.8,Petani,Rendah,3,Tidak,,,,,,,,,,,
270,PULUNG DWI NANDA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMK YPIB KOTABUMI,2020,20,Tidak,Ikut,2.07,Petani,Sedang,3,Tidak,,,,,,,,,,,
271,ALDA SABRINA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA PERSADA BANDAR LAMPUNG,2020,20,Tidak,Ikut,2,Petani,Sedang,3,Tidak,,,,,,,,,,,
272,AHMAD BUDIMAN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMK N 7 BANDAR LAMPUNG,2020,20,Tidak,Ikut,3.72,Petani,Sedang,3,Terima,,,,,,,,,,,
273,FARAS WANDIKA,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA NEGERI 1 KALIANDA,2020,20,Tidak,Ikut,3.34,Petani,Sedang,3,Tidak,,,,,,,,,,,
274,AYANG GITA FERNANDO,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA NEGERI 1 KOTA AGUNG,2020,20,Tidak,Ikut,3.54,Petani,Sedang,3,Tidak,,,,,,,,,,,
275,AGUSTINA WIDIANTI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020,20,Tidak,Ikut,3.44,PNS,Tinggi,3,Tidak,,,,,,,,,,,
276,IKE ELISA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 16 BANDAR LAMPUNG,2020,20,Tidak,Ikut,3.66,PNS,Sedang,1,Tidak,,,,,,,,,,,
277,ANJUNG KINANTHI DEWI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK NEGERI 2 METRO,2020,20,Tidak,Tidak,3.47,PNS,Tinggi,2,Tidak,,,,,,,,,,,
278,MAULIDAN NUGROHO,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAN 1 LIMAU,2020,20,Tidak,Ikut,3.01,PNS,Tinggi,2,Tidak,,,,,,,,,,,
279,AIRIN HANDAYANI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMK N 7 BANDARLAMPUNG,2020,20,Tidak,Ikut,2.79,PNS,Rendah,2,Tidak,,,,,,,,,,,
280,ELA OKTAVIA SAPUTRI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK HAMPAR BAYDURI,2020,20,Tidak,Ikut,3.65,PNS,Sedang,2,Tidak,,,,,,,,,,,
281,MA'RUR ROFIK,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMA NEGERI 1 MUARADUA,2020,20,Tidak,Ikut,3.4,PNS,Sedang,1,Tidak,,,,,,,,,,,
282,FAREL TULUS ROHMAT,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA N 1 BUMI AGUNG,2020,20,Tidak,Ikut,2.97,PNS,Rendah,2,Tidak,,,,,,,,,,,
283,AMANDA PURBA DHAMARA,Pendidikan Bahasa Inggris | Reguler,L,Jauh,SMAS TMI ROUDLATUL QUR'AN METRO,2020,20,Tidak,Ikut,3.72,PNS,Sedang,2,Tidak,,,,,,,,,,,
284,MUHAMMAD SHOIF FURQON,Pendidikan Bahasa Inggris | Reguler,L,Dekat,MAN 1 PESAWARAN,2020,20,Tidak,Ikut,2.76,Petani,Tinggi,1,Tidak,,,,,,,,,,,
285,ANI AZZARA,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA NEGERI 1 BLAMBANGAN UMPU,2020,20,Tidak,Ikut,3.36,Petani,Tinggi,2,Tidak,,,,,,,,,,,
286,IBNU RIVA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 KOTAAGUNG,2020,20,Tidak,Ikut,3.06,Petani,Tinggi,1,Tidak,,,,,,,,,,,
287,NOVI SETIANI,Pendidikan Bahasa Inggris | Reguler,P,Jauh,SMA N 2 PADANG CERMIN,2020,20,Tidak,Ikut,3.26,Petani,Rendah,2,Tidak,,,,,,,,,,,
288,WALIJAH,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMA N 1 ULU BELU,2020,20,Tidak,Ikut,3.82,Petani,Rendah,3,Terima,,,,,,,,,,,
289,SEPTIKA ANDRIA,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMAN 1 TALANGPADANG,2019,20,Tidak,Ikut,3.01,Petani,Tinggi,2,Tidak,,,,,,,,,,,
290,SAFRUDIN,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA N 1 WAY TENONG,2020,20,Tidak,Ikut,1.98,Petani,Tinggi,3,Tidak,,,,,,,,,,,
291,RIDHO RIZIQ,Pendidikan Bahasa Inggris | Reguler,L,Dekat,SMA NEGERI 1 GEDONG TATAAN,2020,20,Tidak,Ikut,2.45,Petani,Tinggi,2,Tidak,,,,,,,,,,,
292,NAWANG SARI,Pendidikan Bahasa Inggris | Reguler,P,Dekat,SMK YP 96 BUKIT KEMUNING,2020,20,Ikut,Tidak,2.51,Petani,Rendah,3,Tidak,,,,,,,,,,,
293,RIDAYANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK NEGERI 7 BANDAR LAMPUNG,2020,20,Tidak,Ikut,2.72,Petani,Tinggi,2,Tidak,,,,,,,,,,,
294,EKA SRI WAHYUNI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 1 SUNGKAI UTARA,2020,20,Tidak,Ikut,2.96,Pensiunan,Tinggi,1,Tidak,,,,,,,,,,,
295,SRI WAHYUNINGSIH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 CUKUH BALAK,2020,20,Tidak,Ikut,3.8,PNS,Tinggi,1,Tidak,,,,,,,,,,,
296,NOVENTY RATNA SARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,20,Tidak,Ikut,3.42,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
297,VERAN TIKA AGUSTIN,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020,20,Tidak,Ikut,3.25,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
298,SYAHRUL TEDDY,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,20,Tidak,Ikut,2.43,Petani,Sedang,2,Tidak,,,,,,,,,,,
299,HUDAIFAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 BANYUMAS,2020,20,Tidak,Ikut,3.48,Wirausaha,Tinggi,2,Tidak,,,,,,,,,,,
300,SELLA RAISSA ZAHARA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 1 WAY TENONG,2020,20,Tidak,Ikut,2.89,Sudah Meninggal,Sedang,2,Tidak,,,,,,,,,,,
301,JODI PRANATA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA N 1 PARDASUKA,2020,20,Tidak,Ikut,1.95,Pensiunan,Sedang,2,Tidak,,,,,,,,,,,
302,REYKA ANISSA PUTRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,20,Tidak,Ikut,3.79,Sudah Meninggal,Tinggi,1,Tidak,,,,,,,,,,,
303,TEGUH HARIYONO,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK WIDYA YAHYA GADINGREJO,2020,20,Tidak,Ikut,3.32,Petani,Sedang,2,Tidak,,,,,,,,,,,
304,CITRA WAHYUNINGTIAS,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 MUARADUA,2020,22,Tidak,Ikut,3.68,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
305,VERLINA INDRIYANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 1 KIBANG,2020,22,Tidak,Ikut,3.21,Petani,Tinggi,4,Tidak,,,,,,,,,,,
306,EKO HILALUDDIN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK NEGERI 7 BANDAR LAMPUNG,2020,22,Tidak,Ikut,3.74,Wiraswasta,Tinggi,2,Tidak,,,,,,,,,,,
307,SHERLY OKTAVIA PUJIANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 1 SEPUTIH MATARAM,2020,22,Tidak,Ikut,3.26,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
308,SISKA DEWI YULIANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020,22,Tidak,Ikut,3.63,PNS,Sedang,3,Tidak,,,,,,,,,,,
309,RAMA. MA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGRI 1 AMBARAWA,2020,22,Tidak,Ikut,3.58,Pensiunan,Tinggi,3,Tidak,,,,,,,,,,,
310,SITI NURROHIMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 3 PALEMBANG,2020,22,Tidak,Ikut,0.84,Petani,Sedang,3,Tidak,,,,,,,,,,,
311,TRI YUNIARSIH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 TUMUJAJAR,2020,22,Tidak,Ikut,3.32,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
312,INGGIL DIAH RANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK NEGERI 2 METRO,2020,22,Tidak,Tidak,3.32,Karyawan Swasta,Rendah,3,Tidak,,,,,,,,,,,
313,KELVIN JUNANDA FAZRI,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK AL QOLAM KOTA AGUNG,2020,22,Tidak,Ikut,3.53,PNS,Tinggi,3,Tidak,,,,,,,,,,,
314,RISAH LAFISIYAM,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 15 BANDAR LAMPUNG,2020,22,Tidak,Ikut,1.53,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
315,HANA KAMELIA FITRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 01 PARDASUKA,2020,22,Tidak,Ikut,3,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
316,ANNISA FITRIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 01 AIR NANINGAN,2020,22,Tidak,Ikut,3.42,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
317,MIFTAHUL HASANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 SUKOHARJO,2020,22,Tidak,Ikut,1.42,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
318,MEMEYLIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,22,Tidak,Ikut,3.47,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
319,VIA ARINDRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK MUHAMMADIYAH 3 METRO,2020,22,Tidak,Ikut,1.53,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
320,SATRIA TRIANSYAH,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK MUHAMMADIYAH 3 METRO,2019,22,Tidak,Ikut,3.21,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
321,ASMIYATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 METRO,2020,22,Tidak,Ikut,3.37,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
322,SIVA NIKAN TIARA ANANDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020,22,Tidak,Ikut,3.21,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
323,HANI LESTARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYA 01 PRINGSEWU,2020,22,Tidak,Ikut,3.58,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
324,RANI AKMALIDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 ADILUWIH,2020,22,Tidak,Ikut,3.68,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
325,ALLAN ALDYANSYAH,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,MA AL-MIZAN,2020,22,Tidak,Ikut,1.21,PNS,Tinggi,2,Tidak,,,,,,,,,,,
326,GUSTI FEBI RENALTA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA SYUBBANUL WATHON,2020,22,Tidak,Ikut,3.11,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
327,RESTI WAHYUNI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KH GHOLIB PRINGSEWU,2020,22,Tidak,Ikut,3.68,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
328,HARI SANJAYA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYAH PRINGSEWU,2020,22,Tidak,Ikut,3.42,Petani,Sedang,3,Tidak,,,,,,,,,,,
329,DWI APRIYANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KH.GHALIB PRINGSEWU,2020,22,Tidak,Ikut,3.52,Wirausaha,Sedang,2,Tidak,,,,,,,,,,,
330,CHELSIA NANDA CANTIKA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SUPM N KOTA AGUNG,2020,22,Tidak,Ikut,3.42,Sudah Meninggal,Sedang,3,Tidak,,,,,,,,,,,
331,DAVIT ENDRIKA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 TALANGPADANG,2020,22,Tidak,Ikut,3.33,Pensiunan,Sedang,2,Tidak,,,,,,,,,,,
332,MILA RAHMADAYANTI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK YASMIDA AMBARAWA,2020,22,Tidak,Ikut,3.5,Sudah Meninggal,Sedang,1,Tidak,,,,,,,,,,,
333,DONI RIZ KYAWAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,MAN 1 PRINGSEWU,2020,22,Tidak,Tidak,3.2,Petani,Sedang,1,Tidak,,,,,,,,,,,
334,NIA WISKY MUTIARA RINA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK KESEHATAN MITRA BANGSA,2020,22,Tidak,Ikut,3.87,Wiraswasta,Sedang,3,Terima,,,,,,,,,,,
335,YENNI SAPITRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 1 BANYUMAS,2020,22,Tidak,Ikut,3.09,Petani,Sedang,2,Tidak,,,,,,,,,,,
336,KUSTOYO,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK YADIKA PAGELARAN,2020,22,Tidak,Ikut,3.42,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
337,RIKI DHARMAWAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMAN 1 CANDIPURO,2020,22,Tidak,Ikut,3.52,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
338,SAFRIZAL,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,MADRASAH ALIYAH NEGERI 1 OGAN KOMERING ULU SELATAN,2020,22,Tidak,Ikut,3.8,PNS,Sedang,2,Tidak,,,,,,,,,,,
339,PUJI RAHAYU,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK KESEHATAN HAMPAR BAIDURI KALIANDA,2020,22,Tidak,Ikut,3.6,Pensiunan,Sedang,2,Tidak,,,,,,,,,,,
340,NINDI AZLIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK HAMPAR BAIDURI,2020,22,Tidak,Ikut,3.6,Petani,Sedang,1,Tidak,,,,,,,,,,,
341,SITI NUR'AINI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA NEGERI 2 KOTA AGUNG,2020,22,Tidak,Ikut,3.8,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
342,NOVA VINDRIANI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA 1 KEDONDONG,2020,22,Tidak,Ikut,3.8,Karyawan Swasta,Sedang,1,Tidak,,,,,,,,,,,
343,YUDA SATRIA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA NEGERI 01 PRINGSEWU,2020,22,Tidak,Ikut,3.5,PNS,Sedang,1,Tidak,,,,,,,,,,,
344,RYO WARDANA WIJAYA,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA NEGERI 1 KEDONDONG,2020,22,Tidak,Ikut,3.7,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
345,ITA PUSPITASARI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020,22,Tidak,Ikut,3.6,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
346,FIDELLA PUTRI ASRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 BANGUNREJO,2020,22,Tidak,Ikut,3.41,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
347,RIZKA ISTIQOMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 BARADATU,2020,22,Tidak,Ikut,3.46,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
348,ANGGI ERLINA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMAN 1 GEDONG TATAAN,2020,22,Tidak,Ikut,3.58,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
349,NURUL KHOLIFAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 2 KOTABUMI ,2020,22,Ikut,Ikut,3.52,Wiraswasta,Tinggi,3,Tidak,,,,,,,,,,,
350,BAYU FIRDAUS,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,MA MA'ARIF KEPUTRAN,2020,22,Ikut,Ikut,3.62,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
351,IFAN RAHMADANI,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMA N 2 KOTAAGUNG,2019,19,Tidak,Tidak,3.53,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
352,ANDINI JULIA DAMAIYANTI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 MENGGALA,2020,19,Tidak,Ikut,3.38,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
353,DWI OKTAVIA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 2 PRINGSEWU,2020,19,Tidak,Ikut,3.21,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
354,AISYAH NABILA AZAHRA,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA MUHAMMADIYAH GISTING,2020,19,Tidak,Ikut,3.64,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
355,AKHMAD MUZAKI,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMAN 1 PRINGSEWU,2020,19,Tidak,Ikut,3.41,PNS,Sedang,2,Tidak,,,,,,,,,,,
356,AMAR MA'RUF WASIDIQ,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA NEGERI 1 RUMBIA,2020,19,Tidak,Ikut,3.48,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
357,DODDY BERLIAN,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMAN 1 KRUI,2020,19,Tidak,Ikut,3.28,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
358,SALSABELA FUAIRI QOLBY,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 TALANGPADANG,2020,19,Tidak,Ikut,3.34,Petani,Sedang,2,Tidak,,,,,,,,,,,
359,VIOLA ATIKA RIYADI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGERI 4 KOTA TANGERANG,2020,19,Tidak,Ikut,3.56,Wirausaha,Sedang,2,Tidak,,,,,,,,,,,
360,MUHAMMAD ABDURROHIM ZAENI,Pendidikan Guru Sekolah Dasar | Reguler,L,Dekat,SMK FARMASI KESUMA BANGSA BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.09,Sudah Meninggal,Sedang,1,Tidak,,,,,,,,,,,
361,FALAH MUNTAHA HENDRA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N2 PRINGSEWU,2020,19,Tidak,Ikut,3.41,Pensiunan,Sedang,2,Tidak,,,,,,,,,,,
362,SINTIA NURHAYATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK N 2 METRO,2020,19,Tidak,Ikut,3.78,Sudah Meninggal,Sedang,1,Tidak,,,,,,,,,,,
363,MUHAMMAD HABIB AKBAR HAQIQI HAZ,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N 2 PRINGSEWU,2020,19,Tidak,Ikut,2.84,Petani,Sedang,2,Tidak,,,,,,,,,,,
364,FINA ANJELINA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,PONDOK PESANTREN MA AL FATAH NATAR,2020,19,Tidak,Ikut,3.56,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
365,YANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 1 LIWA,2020,19,Tidak,Ikut,3.63,Petani,Sedang,2,Tidak,,,,,,,,,,,
366,WAHYU PRATAMA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMAN 1 PRINGSEWU,2020,19,Ikut,Ikut,3.69,Wiraswasta,Sedang,3,Tidak,,,,,,,,,,,
367,WAYS AL QURNI AL FATH,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA NEGERI 1 GUNUNG SUGIH,2020,19,Tidak,Ikut,2.96,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
368,RENDY NIFDIANTO,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA NEGRI 2 KOTAAGUNG,2020,19,Tidak,Ikut,3.04,PNS,Sedang,3,Tidak,,,,,,,,,,,
369,M. ILHAM FADILLAH,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N 1 BANDAR MATARAM,2020,19,Tidak,Ikut,2.55,Pensiunan,Sedang,2,Tidak,,,,,,,,,,,
370,NISRINA ALIFAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 1 SENDANG AGUNG,2020,19,Tidak,Ikut,2.37,Petani,Sedang,1,Tidak,,,,,,,,,,,
371,INTAN SARASWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMK N 7 BANDAR LAMPUNG,2020,19,Tidak,Ikut,2.36,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
372,MUHAMMAD RESTU ANANDA,Pendidikan Guru Sekolah Dasar | Reguler,L,Jauh,SMA N 7 BANDAR LAMPUNG,2020,19,Tidak,Ikut,3.36,Karyawan Swasta,Sedang,3,Tidak,,,,,,,,,,,
373,NADILA SALSABILA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK SMTI BANDAR LAMPUNG,2020,19,Tidak,Ikut,3,PNS,Sedang,2,Tidak,,,,,,,,,,,
374,ADE RAMALIA SAFITRI,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,MAN 1 PRINGSEWU,2020,19,Tidak,Ikut,2.99,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
375,RIZKI BRILLIAN FADLILLAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA N 01 WAY TENONG,2020,19,Tidak,Ikut,3.15,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
376,SEPTIANINGSIH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMKN 1 WAY TENONG,2020,19,Tidak,Ikut,3.21,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
377,POFI LIANA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA N 2 KALIANDA,2020,19,Tidak,Ikut,2.23,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
378,ANGGI SETIAWATI,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMK YP 96 BUKIT KEMUNING,2020,22,Ikut,Ikut,2.86,Wiraswasta,Sedang,1,Tidak,,,,,,,,,,,
379,ADELIA INTAN FATIMAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMA NEGRI 1 KOTA METRO,2020,22,Tidak,Ikut,2.98,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
380,ANISA NURKHASANAH,Pendidikan Guru Sekolah Dasar | Reguler,P,Dekat,SMA XAVERIUS PRINGSEWU,2020,22,Tidak,Ikut,3.41,Wiraswasta,Sedang,2,Tidak,,,,,,,,,,,
381,ULIA MAULIDA,Pendidikan Guru Sekolah Dasar | Reguler,P,Jauh,SMAN 17 BANDAR LAMPUNG,2020,22,Tidak,Ikut,3.16,Wiraswasta,Sedang,4,Tidak,,,,,,,,,,,
